neuron1,value,neuron2
"2nd_layer_n33, 0","0,31172258","3th_layer_n48, 0"
"2nd_layer_n218, 0","-0,52904034","3th_layer_n48, 0"
"2nd_layer_n384, 0","0,89797443","3th_layer_n49, 0"
"2nd_layer_n171, 0","-0,9883453","3th_layer_n49, 0"
"2nd_layer_n223, 0","0,0030342955","3th_layer_n50, 0"
"2nd_layer_n161, 0","-0,54455703","3th_layer_n50, 0"
"2nd_layer_n276, 0","0,90627605","3th_layer_n51, 0"
"2nd_layer_n8, 0","-0,19151378","3th_layer_n51, 0"
"2nd_layer_n111, 0","0,0028332302","3th_layer_n52, 0"
"2nd_layer_n441, 0","-0,68753076","3th_layer_n52, 0"
"2nd_layer_n366, 0","0,34131253","3th_layer_n53, 0"
"2nd_layer_n427, 0","-0,41638058","3th_layer_n53, 0"
"2nd_layer_n417, 0","0,31226426","3th_layer_n54, 0"
"2nd_layer_n204, 0","-0,6088857","3th_layer_n54, 0"
"2nd_layer_n485, 0","0,9913353","3th_layer_n55, 0"
"2nd_layer_n120, 0","-0,73480797","3th_layer_n55, 0"
"2nd_layer_n422, 0","0,9032808","3th_layer_n56, 0"
"2nd_layer_n94, 0","-0,5907789","3th_layer_n56, 0"
"2nd_layer_n72, 0","0,5075266","3th_layer_n57, 0"
"2nd_layer_n61, 0","-0,019594409","3th_layer_n57, 0"
"2nd_layer_n249, 0","0,2073524","3th_layer_n58, 0"
"2nd_layer_n446, 0","-0,46871117","3th_layer_n58, 0"
"2nd_layer_n271, 0","0,7489283","3th_layer_n59, 0"
"2nd_layer_n249, 0","-0,7623556","3th_layer_n59, 0"
"2nd_layer_n292, 0","0,70727545","3th_layer_n60, 0"
"2nd_layer_n397, 0","-0,22488965","3th_layer_n60, 0"
"2nd_layer_n437, 0","0,87419504","3th_layer_n61, 0"
"2nd_layer_n44, 0","-0,3985423","3th_layer_n61, 0"
"2nd_layer_n86, 0","0,03040672","3th_layer_n62, 0"
"2nd_layer_n74, 0","-0,037862968","3th_layer_n62, 0"
"2nd_layer_n433, 0","0,5814847","3th_layer_n63, 0"
"2nd_layer_n478, 0","-0,08794549","3th_layer_n63, 0"
"2nd_layer_n484, 0","0,8009456","3th_layer_n64, 0"
"2nd_layer_n155, 0","-0,32377738","3th_layer_n64, 0"
"2nd_layer_n468, 0","0,027346494","3th_layer_n65, 0"
"2nd_layer_n119, 0","-0,63772225","3th_layer_n65, 0"
"2nd_layer_n68, 0","0,8487907","3th_layer_n66, 0"
"2nd_layer_n276, 0","-0,51662153","3th_layer_n66, 0"
"2nd_layer_n405, 0","0,48102623","3th_layer_n67, 0"
"2nd_layer_n196, 0","-0,12653115","3th_layer_n67, 0"
"2nd_layer_n21, 0","0,015816553","3th_layer_n68, 0"
"2nd_layer_n489, 0","-0,7685218","3th_layer_n68, 0"
"2nd_layer_n186, 0","0,9032406","3th_layer_n69, 0"
"2nd_layer_n492, 0","-0,5530712","3th_layer_n69, 0"
"2nd_layer_n161, 0","0,86627066","3th_layer_n70, 0"
"2nd_layer_n495, 0","-0,39737138","3th_layer_n70, 0"
"2nd_layer_n187, 0","0,70106554","3th_layer_n71, 0"
"2nd_layer_n327, 0","-0,9340105","3th_layer_n71, 0"
"2nd_layer_n164, 0","0,49249873","3th_layer_n72, 0"
"2nd_layer_n426, 0","-0,034778886","3th_layer_n72, 0"
"2nd_layer_n172, 0","0,19525778","3th_layer_n73, 0"
"2nd_layer_n472, 0","-0,61637497","3th_layer_n73, 0"
"2nd_layer_n27, 0","0,6893794","3th_layer_n74, 0"
"2nd_layer_n393, 0","-0,21149372","3th_layer_n74, 0"
"2nd_layer_n343, 0","0,3396698","3th_layer_n75, 0"
"2nd_layer_n427, 0","-0,7197999","3th_layer_n75, 0"
"2nd_layer_n13, 0","0,79910815","3th_layer_n76, 0"
"2nd_layer_n347, 0","-0,54240394","3th_layer_n76, 0"
"2nd_layer_n378, 0","0,924813","3th_layer_n77, 0"
"2nd_layer_n187, 0","-0,6978482","3th_layer_n77, 0"
"2nd_layer_n76, 0","0,021847252","3th_layer_n78, 0"
"2nd_layer_n131, 0","-0,33236387","3th_layer_n78, 0"
"2nd_layer_n107, 0","0,8907576","3th_layer_n79, 0"
"2nd_layer_n165, 0","-0,5683773","3th_layer_n79, 0"
"2nd_layer_n250, 0","0,44034392","3th_layer_n80, 0"
"2nd_layer_n68, 0","-0,7253135","3th_layer_n80, 0"
"2nd_layer_n7, 0","0,57031745","3th_layer_n81, 0"
"2nd_layer_n488, 0","-0,4362913","3th_layer_n81, 0"
"2nd_layer_n300, 0","0,3009118","3th_layer_n82, 0"
"2nd_layer_n322, 0","-0,41235587","3th_layer_n82, 0"
"2nd_layer_n340, 0","0,20422547","3th_layer_n83, 0"
"2nd_layer_n362, 0","-0,12333485","3th_layer_n83, 0"
"2nd_layer_n76, 0","0,76455235","3th_layer_n84, 0"
"2nd_layer_n83, 0","-0,6190011","3th_layer_n84, 0"
"2nd_layer_n69, 0","0,011785028","3th_layer_n85, 0"
"2nd_layer_n198, 0","-0,85377365","3th_layer_n85, 0"
"2nd_layer_n322, 0","0,5968779","3th_layer_n86, 0"
"2nd_layer_n359, 0","-0,38662788","3th_layer_n86, 0"
"2nd_layer_n234, 0","0,52628475","3th_layer_n87, 0"
"2nd_layer_n115, 0","-0,44955224","3th_layer_n87, 0"
"2nd_layer_n183, 0","0,4880372","3th_layer_n88, 0"
"2nd_layer_n118, 0","-0,061617915","3th_layer_n88, 0"
"2nd_layer_n327, 0","0,2955243","3th_layer_n89, 0"
"2nd_layer_n433, 0","-0,20722665","3th_layer_n89, 0"
"2nd_layer_n217, 0","0,5663728","3th_layer_n90, 0"
"2nd_layer_n252, 0","-0,18800616","3th_layer_n90, 0"
"2nd_layer_n144, 0","0,88117987","3th_layer_n91, 0"
"2nd_layer_n481, 0","-0,43782198","3th_layer_n91, 0"
"2nd_layer_n326, 0","0,14757739","3th_layer_n92, 0"
"2nd_layer_n452, 0","-0,9365729","3th_layer_n92, 0"
"2nd_layer_n341, 0","0,55930036","3th_layer_n93, 0"
"2nd_layer_n468, 0","-0,21618585","3th_layer_n93, 0"
"2nd_layer_n336, 0","0,12111244","3th_layer_n94, 0"
"2nd_layer_n194, 0","-0,20459074","3th_layer_n94, 0"
"2nd_layer_n421, 0","0,9783383","3th_layer_n95, 0"
"2nd_layer_n143, 0","-0,7842274","3th_layer_n95, 0"
"2nd_layer_n303, 0","0,6727651","3th_layer_n96, 0"
"2nd_layer_n14, 0","-0,53266203","3th_layer_n96, 0"
"2nd_layer_n504, 0","0,037734564","3th_layer_n97, 0"
"2nd_layer_n367, 0","-0,16329084","3th_layer_n97, 0"
"2nd_layer_n285, 0","0,60121065","3th_layer_n98, 0"
"2nd_layer_n22, 0","-0,28115016","3th_layer_n98, 0"
"2nd_layer_n319, 0","0,22955883","3th_layer_n99, 0"
"2nd_layer_n164, 0","-0,0835313","3th_layer_n99, 0"
"2nd_layer_n453, 0","0,6810335","3th_layer_n100, 0"
"2nd_layer_n101, 0","-0,10865562","3th_layer_n100, 0"
"2nd_layer_n229, 0","0,038323283","3th_layer_n101, 0"
"2nd_layer_n331, 0","-0,77578235","3th_layer_n101, 0"
"2nd_layer_n15, 0","0,06731145","3th_layer_n102, 0"
"2nd_layer_n151, 0","-0,26647565","3th_layer_n102, 0"
"2nd_layer_n344, 0","0,07555294","3th_layer_n103, 0"
"2nd_layer_n34, 0","-0,15999176","3th_layer_n103, 0"
"2nd_layer_n79, 0","0,8790589","3th_layer_n104, 0"
"2nd_layer_n431, 0","-0,28097472","3th_layer_n104, 0"
"2nd_layer_n71, 0","0,25321475","3th_layer_n105, 0"
"2nd_layer_n216, 0","-0,6649247","3th_layer_n105, 0"
"2nd_layer_n62, 0","0,075322166","3th_layer_n106, 0"
"2nd_layer_n160, 0","-0,8221824","3th_layer_n106, 0"
"2nd_layer_n417, 0","0,58782387","3th_layer_n107, 0"
"2nd_layer_n302, 0","-0,43154597","3th_layer_n107, 0"
"2nd_layer_n218, 0","0,8296303","3th_layer_n108, 0"
"2nd_layer_n432, 0","-0,03217355","3th_layer_n108, 0"
"2nd_layer_n297, 0","0,88727194","3th_layer_n109, 0"
"2nd_layer_n27, 0","-0,33198836","3th_layer_n109, 0"
"2nd_layer_n34, 0","0,70212597","3th_layer_n110, 0"
"2nd_layer_n218, 0","-0,9637751","3th_layer_n110, 0"
"2nd_layer_n415, 0","0,12142507","3th_layer_n111, 0"
"2nd_layer_n116, 0","-0,040663667","3th_layer_n111, 0"
"2nd_layer_n247, 0","0,26196644","3th_layer_n112, 0"
"2nd_layer_n510, 0","-0,5919192","3th_layer_n112, 0"
"2nd_layer_n42, 0","0,27042508","3th_layer_n113, 0"
"2nd_layer_n313, 0","-0,81504464","3th_layer_n113, 0"
"2nd_layer_n326, 0","0,045780636","3th_layer_n114, 0"
"2nd_layer_n175, 0","-0,7796817","3th_layer_n114, 0"
"2nd_layer_n195, 0","0,8978104","3th_layer_n115, 0"
"2nd_layer_n285, 0","-0,29099378","3th_layer_n115, 0"
"2nd_layer_n233, 0","0,15555432","3th_layer_n116, 0"
"2nd_layer_n274, 0","-0,06772247","3th_layer_n116, 0"
"2nd_layer_n171, 0","0,5058721","3th_layer_n117, 0"
"2nd_layer_n339, 0","-0,1289652","3th_layer_n117, 0"
"2nd_layer_n149, 0","0,69533056","3th_layer_n118, 0"
"2nd_layer_n506, 0","-0,19385062","3th_layer_n118, 0"
"2nd_layer_n497, 0","0,55556184","3th_layer_n119, 0"
"2nd_layer_n306, 0","-0,6926961","3th_layer_n119, 0"
"2nd_layer_n137, 0","0,6463644","3th_layer_n120, 0"
"2nd_layer_n85, 0","-0,51232463","3th_layer_n120, 0"
"2nd_layer_n509, 0","0,5081229","3th_layer_n121, 0"
"2nd_layer_n419, 0","-0,51438457","3th_layer_n121, 0"
"2nd_layer_n451, 0","0,47855204","3th_layer_n122, 0"
"2nd_layer_n379, 0","-0,35658","3th_layer_n122, 0"
"2nd_layer_n177, 0","0,8969038","3th_layer_n123, 0"
"2nd_layer_n371, 0","-0,52571434","3th_layer_n123, 0"
"2nd_layer_n460, 0","0,47042054","3th_layer_n124, 0"
"2nd_layer_n251, 0","-0,81429183","3th_layer_n124, 0"
"2nd_layer_n311, 0","0,51375175","3th_layer_n125, 0"
"2nd_layer_n501, 0","-0,65052235","3th_layer_n125, 0"
"2nd_layer_n305, 0","0,5097667","3th_layer_n126, 0"
"2nd_layer_n211, 0","-0,2286569","3th_layer_n126, 0"
"2nd_layer_n93, 0","0,44527206","3th_layer_n127, 0"
"2nd_layer_n200, 0","-0,10983749","3th_layer_n127, 0"
"2nd_layer_n388, 0","0,05784057","3th_layer_n128, 0"
"2nd_layer_n329, 0","-0,7101472","3th_layer_n128, 0"
"2nd_layer_n157, 0","0,5459188","3th_layer_n129, 0"
"2nd_layer_n511, 0","-0,0078739505","3th_layer_n129, 0"
"2nd_layer_n139, 0","0,8619496","3th_layer_n130, 0"
"2nd_layer_n287, 0","-0,2471484","3th_layer_n130, 0"
"2nd_layer_n98, 0","0,96362215","3th_layer_n131, 0"
"2nd_layer_n17, 0","-0,8764418","3th_layer_n131, 0"
"2nd_layer_n331, 0","0,21620622","3th_layer_n132, 0"
"2nd_layer_n73, 0","-0,17718092","3th_layer_n132, 0"
"2nd_layer_n37, 0","0,8166437","3th_layer_n133, 0"
"2nd_layer_n442, 0","-0,15301684","3th_layer_n133, 0"
"2nd_layer_n402, 0","0,62912714","3th_layer_n134, 0"
"2nd_layer_n53, 0","-0,94926685","3th_layer_n134, 0"
"2nd_layer_n394, 0","0,19921446","3th_layer_n135, 0"
"2nd_layer_n496, 0","-0,61426234","3th_layer_n135, 0"
"2nd_layer_n245, 0","0,42667082","3th_layer_n136, 0"
"2nd_layer_n173, 0","-0,24643677","3th_layer_n136, 0"
"2nd_layer_n311, 0","0,18307725","3th_layer_n137, 0"
"2nd_layer_n317, 0","-0,1138195","3th_layer_n137, 0"
"2nd_layer_n485, 0","0,30740234","3th_layer_n138, 0"
"2nd_layer_n39, 0","-0,1765544","3th_layer_n138, 0"
"2nd_layer_n124, 0","0,068320125","3th_layer_n139, 0"
"2nd_layer_n84, 0","-0,95439494","3th_layer_n139, 0"
"2nd_layer_n409, 0","0,31590745","3th_layer_n140, 0"
"2nd_layer_n320, 0","-0,39269528","3th_layer_n140, 0"
"2nd_layer_n254, 0","0,6976746","3th_layer_n141, 0"
"2nd_layer_n69, 0","-0,20595838","3th_layer_n141, 0"
"2nd_layer_n379, 0","0,16714928","3th_layer_n142, 0"
"2nd_layer_n488, 0","-0,3031549","3th_layer_n142, 0"
"2nd_layer_n89, 0","0,2176066","3th_layer_n143, 0"
"2nd_layer_n371, 0","-0,30692273","3th_layer_n143, 0"
"2nd_layer_n400, 0","0,35546649","3th_layer_n144, 0"
"2nd_layer_n507, 0","-0,5157853","3th_layer_n144, 0"
"2nd_layer_n273, 0","0,19246267","3th_layer_n145, 0"
"2nd_layer_n78, 0","-0,001199002","3th_layer_n145, 0"
"2nd_layer_n184, 0","0,586962","3th_layer_n146, 0"
"2nd_layer_n198, 0","-0,8669963","3th_layer_n146, 0"
"2nd_layer_n145, 0","0,04544138","3th_layer_n147, 0"
"2nd_layer_n481, 0","-0,20042798","3th_layer_n147, 0"
"2nd_layer_n121, 0","0,93931407","3th_layer_n148, 0"
"2nd_layer_n69, 0","-0,49888828","3th_layer_n148, 0"
"2nd_layer_n410, 0","0,21812707","3th_layer_n149, 0"
"2nd_layer_n210, 0","-0,960901","3th_layer_n149, 0"
"2nd_layer_n486, 0","0,6138428","3th_layer_n150, 0"
"2nd_layer_n59, 0","-0,1897755","3th_layer_n150, 0"
"2nd_layer_n424, 0","0,37024146","3th_layer_n151, 0"
"2nd_layer_n124, 0","-0,6381535","3th_layer_n151, 0"
"2nd_layer_n187, 0","0,7281935","3th_layer_n152, 0"
"2nd_layer_n497, 0","-0,24264675","3th_layer_n152, 0"
"2nd_layer_n232, 0","0,81298125","3th_layer_n153, 0"
"2nd_layer_n353, 0","-0,4305593","3th_layer_n153, 0"
"2nd_layer_n20, 0","0,5933556","3th_layer_n154, 0"
"2nd_layer_n77, 0","-0,9225346","3th_layer_n154, 0"
"2nd_layer_n97, 0","0,6536035","3th_layer_n155, 0"
"2nd_layer_n165, 0","-0,73453116","3th_layer_n155, 0"
"2nd_layer_n332, 0","0,58461607","3th_layer_n156, 0"
"2nd_layer_n257, 0","-0,17228885","3th_layer_n156, 0"
"2nd_layer_n502, 0","0,6233213","3th_layer_n157, 0"
"2nd_layer_n326, 0","-0,25549063","3th_layer_n157, 0"
"2nd_layer_n171, 0","0,68118906","3th_layer_n158, 0"
"2nd_layer_n304, 0","-0,73406494","3th_layer_n158, 0"
"2nd_layer_n123, 0","0,8871434","3th_layer_n159, 0"
"2nd_layer_n303, 0","-0,8811537","3th_layer_n159, 0"
"2nd_layer_n95, 0","0,40383223","3th_layer_n160, 0"
"2nd_layer_n326, 0","-0,59364194","3th_layer_n160, 0"
"2nd_layer_n162, 0","0,38179353","3th_layer_n161, 0"
"2nd_layer_n125, 0","-0,34030306","3th_layer_n161, 0"
"2nd_layer_n140, 0","0,73550695","3th_layer_n162, 0"
"2nd_layer_n356, 0","-0,90764755","3th_layer_n162, 0"
"2nd_layer_n201, 0","0,465175","3th_layer_n163, 0"
"2nd_layer_n73, 0","-0,06309684","3th_layer_n163, 0"
"2nd_layer_n156, 0","0,38491634","3th_layer_n164, 0"
"2nd_layer_n108, 0","-0,88925105","3th_layer_n164, 0"
"2nd_layer_n381, 0","0,5094894","3th_layer_n165, 0"
"2nd_layer_n440, 0","-0,61954826","3th_layer_n165, 0"
"2nd_layer_n359, 0","0,83085966","3th_layer_n166, 0"
"2nd_layer_n314, 0","-0,5649327","3th_layer_n166, 0"
"2nd_layer_n177, 0","0,8441341","3th_layer_n167, 0"
"2nd_layer_n510, 0","-0,508993","3th_layer_n167, 0"
"2nd_layer_n505, 0","0,14276251","3th_layer_n168, 0"
"2nd_layer_n42, 0","-0,04862772","3th_layer_n168, 0"
"2nd_layer_n504, 0","0,75286925","3th_layer_n169, 0"
"2nd_layer_n130, 0","-0,8627469","3th_layer_n169, 0"
"2nd_layer_n508, 0","0,026265116","3th_layer_n170, 0"
"2nd_layer_n478, 0","-0,48912045","3th_layer_n170, 0"
"2nd_layer_n453, 0","0,5513301","3th_layer_n171, 0"
"2nd_layer_n389, 0","-0,81502485","3th_layer_n171, 0"
"2nd_layer_n64, 0","0,79423475","3th_layer_n172, 0"
"2nd_layer_n202, 0","-0,4022899","3th_layer_n172, 0"
"2nd_layer_n16, 0","0,033584375","3th_layer_n173, 0"
"2nd_layer_n469, 0","-0,93907475","3th_layer_n173, 0"
"2nd_layer_n509, 0","0,73916125","3th_layer_n174, 0"
"2nd_layer_n157, 0","-0,87138194","3th_layer_n174, 0"
"2nd_layer_n13, 0","0,13592537","3th_layer_n175, 0"
"2nd_layer_n356, 0","-0,19232166","3th_layer_n175, 0"
"2nd_layer_n341, 0","0,88220555","3th_layer_n176, 0"
"2nd_layer_n270, 0","-0,6842505","3th_layer_n176, 0"
"2nd_layer_n119, 0","0,8665297","3th_layer_n177, 0"
"2nd_layer_n445, 0","-0,57674634","3th_layer_n177, 0"
"2nd_layer_n365, 0","0,5464466","3th_layer_n178, 0"
"2nd_layer_n438, 0","-0,61178774","3th_layer_n178, 0"
"2nd_layer_n400, 0","0,48250958","3th_layer_n179, 0"
"2nd_layer_n199, 0","-0,80946136","3th_layer_n179, 0"
"2nd_layer_n389, 0","0,34617907","3th_layer_n180, 0"
"2nd_layer_n125, 0","-0,4578412","3th_layer_n180, 0"
"2nd_layer_n117, 0","0,7162184","3th_layer_n181, 0"
"2nd_layer_n296, 0","-0,32403868","3th_layer_n181, 0"
"2nd_layer_n86, 0","0,4065117","3th_layer_n182, 0"
"2nd_layer_n409, 0","-0,38577795","3th_layer_n182, 0"
"2nd_layer_n56, 0","0,19493094","3th_layer_n183, 0"
"2nd_layer_n368, 0","-0,90007985","3th_layer_n183, 0"
"2nd_layer_n48, 0","0,58376247","3th_layer_n184, 0"
"2nd_layer_n254, 0","-0,17377685","3th_layer_n184, 0"
"2nd_layer_n473, 0","0,6255098","3th_layer_n185, 0"
"2nd_layer_n39, 0","-0,98064333","3th_layer_n185, 0"
"2nd_layer_n6, 0","0,7912648","3th_layer_n186, 0"
"2nd_layer_n496, 0","-0,046388954","3th_layer_n186, 0"
"2nd_layer_n168, 0","0,105276875","3th_layer_n187, 0"
"2nd_layer_n134, 0","-0,23121925","3th_layer_n187, 0"
"2nd_layer_n431, 0","0,090175495","3th_layer_n188, 0"
"2nd_layer_n216, 0","-0,751617","3th_layer_n188, 0"
"2nd_layer_n471, 0","0,04456511","3th_layer_n189, 0"
"2nd_layer_n217, 0","-0,27441204","3th_layer_n189, 0"
"2nd_layer_n447, 0","0,03360099","3th_layer_n190, 0"
"2nd_layer_n334, 0","-0,8809818","3th_layer_n190, 0"
"2nd_layer_n97, 0","0,78323096","3th_layer_n191, 0"
"2nd_layer_n271, 0","-0,3863115","3th_layer_n191, 0"
"2nd_layer_n25, 0","0,63861483","3th_layer_n192, 0"
"2nd_layer_n60, 0","-0,98353577","3th_layer_n192, 0"
"2nd_layer_n434, 0","0,39736703","3th_layer_n193, 0"
"2nd_layer_n224, 0","-0,84846514","3th_layer_n193, 0"
"2nd_layer_n459, 0","0,21698593","3th_layer_n194, 0"
"2nd_layer_n466, 0","-0,631355","3th_layer_n194, 0"
"2nd_layer_n257, 0","0,6439374","3th_layer_n195, 0"
"2nd_layer_n409, 0","-0,6269851","3th_layer_n195, 0"
"2nd_layer_n496, 0","0,52001595","3th_layer_n196, 0"
"2nd_layer_n17, 0","-0,12666826","3th_layer_n196, 0"
"2nd_layer_n242, 0","0,0616833","3th_layer_n197, 0"
"2nd_layer_n380, 0","-0,81672513","3th_layer_n197, 0"
"2nd_layer_n371, 0","0,6708444","3th_layer_n198, 0"
"2nd_layer_n435, 0","-0,51531386","3th_layer_n198, 0"
"2nd_layer_n161, 0","0,9826662","3th_layer_n199, 0"
"2nd_layer_n497, 0","-0,7911868","3th_layer_n199, 0"
"2nd_layer_n297, 0","0,6169409","3th_layer_n200, 0"
"2nd_layer_n142, 0","-0,63437164","3th_layer_n200, 0"
"2nd_layer_n191, 0","0,6843054","3th_layer_n201, 0"
"2nd_layer_n25, 0","-0,2434605","3th_layer_n201, 0"
"2nd_layer_n270, 0","0,20249818","3th_layer_n202, 0"
"2nd_layer_n221, 0","-0,21753187","3th_layer_n202, 0"
"2nd_layer_n42, 0","0,84954184","3th_layer_n203, 0"
"2nd_layer_n92, 0","-0,26242414","3th_layer_n203, 0"
"2nd_layer_n139, 0","0,4348416","3th_layer_n204, 0"
"2nd_layer_n385, 0","-0,7876434","3th_layer_n204, 0"
"2nd_layer_n337, 0","0,007619192","3th_layer_n205, 0"
"2nd_layer_n275, 0","-0,15411042","3th_layer_n205, 0"
"2nd_layer_n209, 0","0,63364416","3th_layer_n206, 0"
"2nd_layer_n391, 0","-0,2830956","3th_layer_n206, 0"
"2nd_layer_n50, 0","0,68278337","3th_layer_n207, 0"
"2nd_layer_n489, 0","-0,028511709","3th_layer_n207, 0"
"2nd_layer_n386, 0","0,43703908","3th_layer_n208, 0"
"2nd_layer_n315, 0","-0,21160822","3th_layer_n208, 0"
"2nd_layer_n46, 0","0,6713353","3th_layer_n209, 0"
