neuron1,value,neuron2
"a3_3, 0","-0,10101315","2nd_layer_n197, 0"
"a3_4, 0","0,58218914","2nd_layer_n495, 0"
"a3_4, 0","-0,37752876","2nd_layer_n368, 0"
"a3_5, 0","0,6285126","2nd_layer_n488, 0"
"a3_5, 0","-0,16838397","2nd_layer_n122, 0"
"a3_6, 0","0,51639146","2nd_layer_n497, 0"
"a3_6, 0","-0,84409136","2nd_layer_n497, 0"
"a3_7, 0","0,28279427","2nd_layer_n312, 0"
"a3_7, 0","-0,4556784","2nd_layer_n324, 0"
"a3_8, 0","0,23094599","2nd_layer_n387, 0"
"a3_8, 0","-0,69934833","2nd_layer_n114, 0"
"a3_9, 0","0,012658488","2nd_layer_n244, 0"
"a3_9, 0","-0,070873275","2nd_layer_n41, 0"
"a3_10, 0","0,1978863","2nd_layer_n49, 0"
"a3_10, 0","-0,6687673","2nd_layer_n218, 0"
"a3_11, 0","0,632884","2nd_layer_n85, 0"
"a3_11, 0","-0,095363535","2nd_layer_n171, 0"
"a3_12, 0","0,24757865","2nd_layer_n370, 0"
"a3_12, 0","-0,02382346","2nd_layer_n288, 0"
"a4_1, 0","0,80438995","2nd_layer_n64, 0"
"a4_1, 0","-0,33223155","2nd_layer_n176, 0"
"a4_2, 0","0,16277827","2nd_layer_n216, 0"
"a4_2, 0","-0,6469819","2nd_layer_n277, 0"
"a4_3, 0","0,6685543","2nd_layer_n158, 0"
"a4_3, 0","-0,60638255","2nd_layer_n327, 0"
"a4_4, 0","0,057908922","2nd_layer_n79, 0"
"a4_4, 0","-0,050225593","2nd_layer_n298, 0"
"a4_5, 0","0,79031545","2nd_layer_n385, 0"
"a4_5, 0","-0,85586494","2nd_layer_n4, 0"
"a4_6, 0","0,15445459","2nd_layer_n332, 0"
"a4_6, 0","-0,79481864","2nd_layer_n244, 0"
"a4_7, 0","0,78969836","2nd_layer_n389, 0"
"a4_7, 0","-0,7491291","2nd_layer_n407, 0"
"a4_8, 0","0,9026705","2nd_layer_n315, 0"
"a4_8, 0","-0,5926945","2nd_layer_n15, 0"
"a4_9, 0","0,009622801","2nd_layer_n291, 0"
"a4_9, 0","-0,4422551","2nd_layer_n27, 0"
"a4_10, 0","0,8846108","2nd_layer_n252, 0"
"a4_10, 0","-0,008733777","2nd_layer_n127, 0"
"a4_11, 0","0,0646657","2nd_layer_n459, 0"
"a4_11, 0","-0,5941236","2nd_layer_n486, 0"
"a4_12, 0","0,34144312","2nd_layer_n254, 0"
"a4_12, 0","-0,03524995","2nd_layer_n167, 0"
"a5_1, 0","0,22373912","2nd_layer_n105, 0"
"a5_1, 0","-0,5080172","2nd_layer_n227, 0"
"a5_2, 0","0,78080845","2nd_layer_n43, 0"
"a5_2, 0","-0,37366855","2nd_layer_n278, 0"
"a5_3, 0","0,9610766","2nd_layer_n178, 0"
"a5_3, 0","-0,9414676","2nd_layer_n358, 0"
"a5_4, 0","0,68993545","2nd_layer_n347, 0"
"a5_4, 0","-0,007307907","2nd_layer_n151, 0"
"a5_5, 0","0,593282","2nd_layer_n77, 0"
"a5_5, 0","-0,90250856","2nd_layer_n333, 0"
"a5_6, 0","0,16253345","2nd_layer_n331, 0"
"a5_6, 0","-0,75764376","2nd_layer_n142, 0"
"a5_7, 0","0,64217234","2nd_layer_n492, 0"
"a5_7, 0","-0,6568096","2nd_layer_n9, 0"
"a5_8, 0","0,2524484","2nd_layer_n151, 0"
"a5_8, 0","-0,37003946","2nd_layer_n182, 0"
"a5_9, 0","0,82723594","2nd_layer_n332, 0"
"a5_9, 0","-0,028619915","2nd_layer_n455, 0"
"a5_10, 0","0,5550159","2nd_layer_n103, 0"
"a5_10, 0","-0,17541274","2nd_layer_n164, 0"
"a5_11, 0","0,9165721","2nd_layer_n231, 0"
"a5_11, 0","-0,49477154","2nd_layer_n209, 0"
"a5_12, 0","0,5782296","2nd_layer_n100, 0"
"a5_12, 0","-0,54941684","2nd_layer_n362, 0"
"a6_1, 0","0,09186115","2nd_layer_n266, 0"
"a6_1, 0","-0,5666439","2nd_layer_n334, 0"
"a6_2, 0","0,07166955","2nd_layer_n29, 0"
"a6_2, 0","-0,9280407","2nd_layer_n404, 0"
"a6_3, 0","0,34111136","2nd_layer_n174, 0"
"a6_3, 0","-0,9180717","2nd_layer_n45, 0"
"a6_4, 0","0,35509297","2nd_layer_n1, 0"
"a6_4, 0","-0,9872161","2nd_layer_n148, 0"
"a6_5, 0","0,20579624","2nd_layer_n267, 0"
"a6_5, 0","-0,8710908","2nd_layer_n475, 0"
"a6_6, 0","0,43409684","2nd_layer_n102, 0"
"a6_6, 0","-0,56335044","2nd_layer_n321, 0"
"a6_7, 0","0,3384385","2nd_layer_n310, 0"
"a6_7, 0","-0,25709468","2nd_layer_n329, 0"
"a6_8, 0","0,12411556","2nd_layer_n10, 0"
"a6_8, 0","-0,62855756","2nd_layer_n198, 0"
"a6_9, 0","0,35857242","2nd_layer_n185, 0"
"a6_9, 0","-0,6215886","2nd_layer_n508, 0"
"a6_10, 0","0,44575876","2nd_layer_n128, 0"
"a6_10, 0","-0,7233068","2nd_layer_n340, 0"
"a6_11, 0","0,3173542","2nd_layer_n21, 0"
"a6_11, 0","-0,3026688","2nd_layer_n194, 0"
"a6_12, 0","0,4208256","2nd_layer_n380, 0"
"a6_12, 0","-0,35407433","2nd_layer_n292, 0"
"a7_1, 0","0,7740372","2nd_layer_n489, 0"
"a7_1, 0","-0,73203063","2nd_layer_n506, 0"
"a7_2, 0","0,3455588","2nd_layer_n332, 0"
"a7_2, 0","-0,8392302","2nd_layer_n83, 0"
"a7_3, 0","0,0045231027","2nd_layer_n297, 0"
"a7_3, 0","-0,26340517","2nd_layer_n460, 0"
"a7_4, 0","0,5329402","2nd_layer_n323, 0"
"a7_4, 0","-0,061300945","2nd_layer_n250, 0"
"a7_5, 0","0,6180564","2nd_layer_n99, 0"
"a7_5, 0","-0,844373","2nd_layer_n378, 0"
"a7_6, 0","0,519944","2nd_layer_n511, 0"
"a7_6, 0","-0,10060203","2nd_layer_n429, 0"
"a7_7, 0","0,023563085","2nd_layer_n362, 0"
"a7_7, 0","-0,99324095","2nd_layer_n338, 0"
"a7_8, 0","0,10203637","2nd_layer_n175, 0"
"a7_8, 0","-0,010811395","2nd_layer_n466, 0"
"a7_9, 0","0,48194605","2nd_layer_n424, 0"
"a7_9, 0","-0,7250294","2nd_layer_n42, 0"
"a7_10, 0","0,9023385","2nd_layer_n298, 0"
"a7_10, 0","-0,9655216","2nd_layer_n444, 0"
"a7_11, 0","0,7436843","2nd_layer_n430, 0"
"a7_11, 0","-0,49329862","2nd_layer_n220, 0"
"a7_12, 0","0,44452572","2nd_layer_n291, 0"
"a7_12, 0","-0,8433894","2nd_layer_n455, 0"
"a8_1, 0","0,36634928","2nd_layer_n282, 0"
"a8_1, 0","-0,6159624","2nd_layer_n5, 0"
"a8_2, 0","0,52066153","2nd_layer_n111, 0"
"a8_2, 0","-0,6446627","2nd_layer_n330, 0"
"a8_3, 0","0,08560326","2nd_layer_n101, 0"
"a8_3, 0","-0,98637336","2nd_layer_n161, 0"
"a8_4, 0","0,012762114","2nd_layer_n120, 0"
"a8_4, 0","-0,15311372","2nd_layer_n469, 0"
"a8_5, 0","0,43824247","2nd_layer_n96, 0"
"a8_5, 0","-0,22735545","2nd_layer_n94, 0"
"a8_6, 0","0,89495486","2nd_layer_n488, 0"
"a8_6, 0","-0,9225598","2nd_layer_n186, 0"
"a8_7, 0","0,8189055","2nd_layer_n379, 0"
"a8_7, 0","-0,8636251","2nd_layer_n173, 0"
"a8_8, 0","0,27472368","2nd_layer_n52, 0"
"a8_8, 0","-0,51149803","2nd_layer_n338, 0"
"a8_9, 0","0,31712994","2nd_layer_n215, 0"
"a8_9, 0","-0,46178013","2nd_layer_n225, 0"
"a8_10, 0","0,711838","2nd_layer_n462, 0"
"a8_10, 0","-0,88724667","2nd_layer_n280, 0"
"a8_11, 0","0,7280291","2nd_layer_n461, 0"
"a8_11, 0","-0,14706853","2nd_layer_n370, 0"
"a8_12, 0","0,7909486","2nd_layer_n360, 0"
"a8_12, 0","-0,3363975","2nd_layer_n366, 0"
"b1_1, 0","0,9239335","2nd_layer_n426, 0"
"b1_1, 0","-0,76658946","2nd_layer_n444, 0"
"b1_2, 0","0,6446354","2nd_layer_n161, 0"
"b1_2, 0","-0,9661016","2nd_layer_n218, 0"
"b1_3, 0","0,24607849","2nd_layer_n22, 0"
"b1_3, 0","-0,47147977","2nd_layer_n107, 0"
"b1_4, 0","0,76040196","2nd_layer_n120, 0"
"b1_4, 0","-0,35422662","2nd_layer_n249, 0"
"b1_5, 0","0,23265527","2nd_layer_n105, 0"
"b1_5, 0","-0,8329234","2nd_layer_n281, 0"
"b1_6, 0","0,065094315","2nd_layer_n24, 0"
"b1_6, 0","-0,1732316","2nd_layer_n301, 0"
"b1_7, 0","0,90740097","2nd_layer_n307, 0"
"b1_7, 0","-0,72740626","2nd_layer_n71, 0"
"b1_8, 0","0,23396246","2nd_layer_n67, 0"
"b1_8, 0","-0,72616756","2nd_layer_n370, 0"
"b1_9, 0","0,69864005","2nd_layer_n36, 0"
"b1_9, 0","-0,58992136","2nd_layer_n210, 0"
"b1_10, 0","0,25870684","2nd_layer_n363, 0"
"b1_10, 0","-0,047255512","2nd_layer_n342, 0"
"b1_11, 0","0,5866229","2nd_layer_n107, 0"
"b1_11, 0","-0,83040863","2nd_layer_n187, 0"
"b1_12, 0","0,16661473","2nd_layer_n481, 0"
"b1_12, 0","-0,11802541","2nd_layer_n191, 0"
"b2_1, 0","0,873771","2nd_layer_n265, 0"
"b2_1, 0","-0,5239756","2nd_layer_n191, 0"
"b2_2, 0","0,99018615","2nd_layer_n269, 0"
"b2_2, 0","-0,7814857","2nd_layer_n84, 0"
"b2_3, 0","0,04899836","2nd_layer_n377, 0"
"b2_3, 0","-0,7222875","2nd_layer_n464, 0"
"b2_4, 0","0,10257568","2nd_layer_n348, 0"
"b2_4, 0","-0,058869407","2nd_layer_n169, 0"
"b2_5, 0","0,9500161","2nd_layer_n493, 0"
"b2_5, 0","-0,78620523","2nd_layer_n448, 0"
"b2_6, 0","0,27573332","2nd_layer_n125, 0"
"b2_6, 0","-0,15562333","2nd_layer_n62, 0"
"b2_7, 0","0,4369041","2nd_layer_n293, 0"
"b2_7, 0","-0,26493973","2nd_layer_n250, 0"
"b2_8, 0","0,18879993","2nd_layer_n357, 0"
"b2_8, 0","-0,4670498","2nd_layer_n181, 0"
"b2_9, 0","0,7716428","2nd_layer_n190, 0"
"b2_9, 0","-0,44355193","2nd_layer_n49, 0"
"b2_10, 0","0,43973285","2nd_layer_n382, 0"
"b2_10, 0","-0,1342617","2nd_layer_n420, 0"
"b2_11, 0","0,38255224","2nd_layer_n391, 0"
"b2_11, 0","-0,9756815","2nd_layer_n359, 0"
"b2_12, 0","0,54735917","2nd_layer_n381, 0"
"b2_12, 0","-0,33684564","2nd_layer_n376, 0"
"b3_1, 0","0,15374884","2nd_layer_n230, 0"
"b3_1, 0","-0,9284098","2nd_layer_n95, 0"
"b3_2, 0","0,85428566","2nd_layer_n386, 0"
"b3_2, 0","-0,59800166","2nd_layer_n248, 0"
"b3_3, 0","0,94456387","2nd_layer_n255, 0"
"b3_3, 0","-0,030646453","2nd_layer_n416, 0"
"b3_4, 0","0,7972058","2nd_layer_n17, 0"
"b3_4, 0","-0,3291704","2nd_layer_n439, 0"
"b3_5, 0","0,30574697","2nd_layer_n110, 0"
"b3_5, 0","-0,10637185","2nd_layer_n162, 0"
"b3_6, 0","0,067511685","2nd_layer_n426, 0"
"b3_6, 0","-0,9606824","2nd_layer_n426, 0"
"b3_7, 0","0,6627098","2nd_layer_n111, 0"
"b3_7, 0","-0,3884853","2nd_layer_n98, 0"
"b3_8, 0","0,8260287","2nd_layer_n333, 0"
"b3_8, 0","-0,3136827","2nd_layer_n228, 0"
"b3_9, 0","0,017140146","2nd_layer_n461, 0"
"b3_9, 0","-0,11551502","2nd_layer_n461, 0"
"b3_10, 0","0,17540947","2nd_layer_n253, 0"
"b3_10, 0","-0,7258265","2nd_layer_n358, 0"
"b3_11, 0","0,10911403","2nd_layer_n234, 0"
"b3_11, 0","-0,66606957","2nd_layer_n77, 0"
"b3_12, 0","0,49216467","2nd_layer_n125, 0"
"b3_12, 0","-0,1378867","2nd_layer_n269, 0"
"b4_1, 0","0,06534161","2nd_layer_n317, 0"
"b4_1, 0","-0,5358904","2nd_layer_n158, 0"
"b4_2, 0","0,41541785","2nd_layer_n296, 0"
"b4_2, 0","-0,912849","2nd_layer_n210, 0"
"b4_3, 0","0,6904001","2nd_layer_n448, 0"
"b4_3, 0","-0,2884058","2nd_layer_n66, 0"
"b4_4, 0","0,4308281","2nd_layer_n212, 0"
"b4_4, 0","-0,9574052","2nd_layer_n63, 0"
"b4_5, 0","0,58483356","2nd_layer_n58, 0"
"b4_5, 0","-0,2539283","2nd_layer_n298, 0"
"b4_6, 0","0,976095","2nd_layer_n156, 0"
"b4_6, 0","-0,08110946","2nd_layer_n140, 0"
"b4_7, 0","0,6513375","2nd_layer_n171, 0"
"b4_7, 0","-0,27662253","2nd_layer_n19, 0"
"b4_8, 0","0,4829776","2nd_layer_n440, 0"
"b4_8, 0","-0,67442447","2nd_layer_n451, 0"
"b4_9, 0","0,3991223","2nd_layer_n318, 0"
"b4_9, 0","-0,38311943","2nd_layer_n380, 0"
"b4_10, 0","0,65060645","2nd_layer_n237, 0"
"b4_10, 0","-0,84538805","2nd_layer_n8, 0"
"b4_11, 0","0,54138744","2nd_layer_n251, 0"
"b4_11, 0","-0,6976074","2nd_layer_n339, 0"
"b4_12, 0","0,67375064","2nd_layer_n183, 0"
"b4_12, 0","-0,4536361","2nd_layer_n193, 0"
"b5_1, 0","0,7768213","2nd_layer_n62, 0"
"b5_1, 0","-0,33113647","2nd_layer_n485, 0"
"b5_2, 0","0,33650094","2nd_layer_n90, 0"
"b5_2, 0","-0,869715","2nd_layer_n154, 0"
"b5_3, 0","0,86005867","2nd_layer_n149, 0"
"b5_3, 0","-0,33406603","2nd_layer_n249, 0"
"b5_4, 0","0,5740972","2nd_layer_n84, 0"
"b5_4, 0","-0,61923444","2nd_layer_n296, 0"
"b5_5, 0","0,3773455","2nd_layer_n488, 0"
"b5_5, 0","-0,65472263","2nd_layer_n340, 0"
"b5_6, 0","0,45924526","2nd_layer_n125, 0"
"b5_6, 0","-0,84931356","2nd_layer_n453, 0"
"b5_7, 0","0,42020884","2nd_layer_n346, 0"
"b5_7, 0","-0,435068","2nd_layer_n410, 0"
"b5_8, 0","0,10303711","2nd_layer_n100, 0"
"b5_8, 0","-0,27115178","2nd_layer_n308, 0"
"b5_9, 0","0,11164464","2nd_layer_n465, 0"
"b5_9, 0","-0,14785193","2nd_layer_n84, 0"
"b5_10, 0","0,70150477","2nd_layer_n470, 0"
"b5_10, 0","-0,7600787","2nd_layer_n229, 0"
"b5_11, 0","0,3943791","2nd_layer_n56, 0"
"b5_11, 0","-0,30683073","2nd_layer_n472, 0"
"b5_12, 0","0,521684","2nd_layer_n505, 0"
"b5_12, 0","-0,3243819","2nd_layer_n53, 0"
"b6_1, 0","0,16332316","2nd_layer_n82, 0"
"b6_1, 0","-0,8885802","2nd_layer_n468, 0"
"b6_2, 0","0,034883227","2nd_layer_n382, 0"
"b6_2, 0","-0,47523445","2nd_layer_n381, 0"
"b6_3, 0","0,4542657","2nd_layer_n90, 0"
"b6_3, 0","-0,8854601","2nd_layer_n363, 0"
"b6_4, 0","0,6941225","2nd_layer_n332, 0"
"b6_4, 0","-0,73104876","2nd_layer_n106, 0"
"b6_5, 0","0,35109195","2nd_layer_n493, 0"
"b6_5, 0","-0,895734","2nd_layer_n437, 0"
"b6_6, 0","0,19232169","2nd_layer_n52, 0"
"b6_6, 0","-0,81156206","2nd_layer_n359, 0"
"b6_7, 0","0,4955387","2nd_layer_n311, 0"
"b6_7, 0","-0,55814815","2nd_layer_n44, 0"
"b6_8, 0","0,28670746","2nd_layer_n208, 0"
"b6_8, 0","-0,9562994","2nd_layer_n214, 0"
"b6_9, 0","0,97187483","2nd_layer_n213, 0"
"b6_9, 0","-0,010161968","2nd_layer_n372, 0"
"b6_10, 0","0,9119416","2nd_layer_n264, 0"
"b6_10, 0","-0,65957254","2nd_layer_n506, 0"
"b6_11, 0","0,027433993","2nd_layer_n405, 0"
"b6_11, 0","-0,54936","2nd_layer_n32, 0"
"b6_12, 0","0,64005566","2nd_layer_n128, 0"
"b6_12, 0","-0,70552015","2nd_layer_n472, 0"
"b7_1, 0","0,67788297","2nd_layer_n408, 0"
"b7_1, 0","-0,6656443","2nd_layer_n294, 0"
"b7_2, 0","0,38081455","2nd_layer_n23, 0"
"b7_2, 0","-0,019148575","2nd_layer_n407, 0"
"b7_3, 0","0,8743498","2nd_layer_n194, 0"
"b7_3, 0","-0,6584452","2nd_layer_n248, 0"
"b7_4, 0","0,69903755","2nd_layer_n222, 0"
"b7_4, 0","-0,50331944","2nd_layer_n464, 0"
"b7_5, 0","0,174658","2nd_layer_n198, 0"
"b7_5, 0","-0,30696794","2nd_layer_n47, 0"
"b7_6, 0","0,5111478","2nd_layer_n266, 0"
"b7_6, 0","-0,88964456","2nd_layer_n305, 0"
"b7_7, 0","0,7402274","2nd_layer_n177, 0"
"b7_7, 0","-0,737275","2nd_layer_n353, 0"
"b7_8, 0","0,776849","2nd_layer_n198, 0"
"b7_8, 0","-0,31263787","2nd_layer_n131, 0"
"b7_9, 0","0,029988917","2nd_layer_n162, 0"
"b7_9, 0","-0,6151546","2nd_layer_n293, 0"
"b7_10, 0","0,41099602","2nd_layer_n50, 0"
"b7_10, 0","-0,96058273","2nd_layer_n44, 0"
"b7_11, 0","0,00830234","2nd_layer_n63, 0"
"b7_11, 0","-0,34467447","2nd_layer_n376, 0"
"b7_12, 0","0,068729304","2nd_layer_n304, 0"
"b7_12, 0","-0,16274868","2nd_layer_n73, 0"
"b8_1, 0","0,65729827","2nd_layer_n111, 0"
"b8_1, 0","-0,39135626","2nd_layer_n53, 0"
"b8_2, 0","0,060691483","2nd_layer_n203, 0"
"b8_2, 0","-0,7277021","2nd_layer_n288, 0"
"b8_3, 0","0,50989056","2nd_layer_n221, 0"
"b8_3, 0","-0,09331292","2nd_layer_n369, 0"
"b8_4, 0","0,8687715","2nd_layer_n388, 0"
"b8_4, 0","-0,70079625","2nd_layer_n213, 0"
"b8_5, 0","0,90937316","2nd_layer_n478, 0"
"b8_5, 0","-0,76777923","2nd_layer_n466, 0"
"b8_6, 0","0,45197967","2nd_layer_n37, 0"
"b8_6, 0","-0,919707","2nd_layer_n410, 0"
"b8_7, 0","0,5821679","2nd_layer_n20, 0"
"b8_7, 0","-0,05350594","2nd_layer_n270, 0"
"b8_8, 0","0,15582643","2nd_layer_n498, 0"
"b8_8, 0","-0,74299806","2nd_layer_n207, 0"
"b8_9, 0","0,6645472","2nd_layer_n233, 0"
"b8_9, 0","-0,1858561","2nd_layer_n291, 0"
"b8_10, 0","0,66184926","2nd_layer_n283, 0"
"b8_10, 0","-0,19707921","2nd_layer_n281, 0"
"b8_11, 0","0,775345","2nd_layer_n438, 0"
"b8_11, 0","-0,90228194","2nd_layer_n448, 0"
"b8_12, 0","0,3638669","2nd_layer_n487, 0"
"b8_12, 0","-0,17406498","2nd_layer_n213, 0"
"c1_1, 0","0,78785604","2nd_layer_n59, 0"
"c1_1, 0","-0,731936","2nd_layer_n479, 0"
"c1_2, 0","0,9149955","2nd_layer_n233, 0"
"c1_2, 0","-0,9351416","2nd_layer_n416, 0"
"c1_3, 0","0,3923559","2nd_layer_n431, 0"
"c1_3, 0","-0,4245143","2nd_layer_n277, 0"
"c1_4, 0","0,059139416","2nd_layer_n400, 0"
"c1_4, 0","-0,03636479","2nd_layer_n168, 0"
"c1_5, 0","0,7213547","2nd_layer_n80, 0"
"c1_5, 0","-0,15985014","2nd_layer_n260, 0"
"c1_6, 0","0,78349155","2nd_layer_n145, 0"
"c1_6, 0","-0,8286271","2nd_layer_n477, 0"
"c1_7, 0","0,18245907","2nd_layer_n374, 0"
"c1_7, 0","-0,24992637","2nd_layer_n211, 0"
"c1_8, 0","0,9014712","2nd_layer_n73, 0"
"c1_8, 0","-0,27962855","2nd_layer_n90, 0"
"c1_9, 0","0,5544098","2nd_layer_n373, 0"
"c1_9, 0","-0,5487612","2nd_layer_n369, 0"
"c1_10, 0","0,9282844","2nd_layer_n340, 0"
"c1_10, 0","-0,49419314","2nd_layer_n121, 0"
"c1_11, 0","0,83841306","2nd_layer_n295, 0"
"c1_11, 0","-0,99787825","2nd_layer_n231, 0"
"c1_12, 0","0,5877501","2nd_layer_n88, 0"
"c1_12, 0","-0,35432893","2nd_layer_n81, 0"
"c2_1, 0","0,84187174","2nd_layer_n98, 0"
"c2_1, 0","-0,27894565","2nd_layer_n3, 0"
"c2_2, 0","0,86666423","2nd_layer_n500, 0"
"c2_2, 0","-0,65982103","2nd_layer_n365, 0"
"c2_3, 0","0,7583833","2nd_layer_n220, 0"
"c2_3, 0","-0,37645373","2nd_layer_n59, 0"
"c2_4, 0","0,8022227","2nd_layer_n290, 0"
"c2_4, 0","-0,5415915","2nd_layer_n126, 0"
"c2_5, 0","0,62716925","2nd_layer_n228, 0"
"c2_5, 0","-0,17416601","2nd_layer_n500, 0"
"c2_6, 0","0,9005508","2nd_layer_n403, 0"
"c2_6, 0","-0,45582592","2nd_layer_n88, 0"
"c2_7, 0","0,69167364","2nd_layer_n79, 0"
"c2_7, 0","-0,9992873","2nd_layer_n330, 0"
"c2_8, 0","0,24048933","2nd_layer_n277, 0"
"c2_8, 0","-0,16261058","2nd_layer_n26, 0"
"c2_9, 0","0,9725812","2nd_layer_n483, 0"
"c2_9, 0","-0,3173104","2nd_layer_n211, 0"
"c2_10, 0","0,07364354","2nd_layer_n174, 0"
"c2_10, 0","-0,6815844","2nd_layer_n180, 0"
"c2_11, 0","0,62245","2nd_layer_n52, 0"
"c2_11, 0","-0,26990435","2nd_layer_n232, 0"
"c2_12, 0","0,96047044","2nd_layer_n465, 0"
"c2_12, 0","-0,17985655","2nd_layer_n459, 0"
"c3_1, 0","0,9434388","2nd_layer_n372, 0"
"c3_1, 0","-0,0020873519","2nd_layer_n4, 0"
"c3_2, 0","0,8425382","2nd_layer_n448, 0"
"c3_2, 0","-0,46202162","2nd_layer_n115, 0"
"c3_3, 0","0,18340357","2nd_layer_n292, 0"
"c3_3, 0","-0,51408213","2nd_layer_n425, 0"
"c3_4, 0","0,11570063","2nd_layer_n437, 0"
"c3_4, 0","-0,5256639","2nd_layer_n18, 0"
"c3_5, 0","0,7025619","2nd_layer_n497, 0"
"c3_5, 0","-0,5291004","2nd_layer_n322, 0"
"c3_6, 0","0,24647777","2nd_layer_n249, 0"
"c3_6, 0","-0,058896665","2nd_layer_n478, 0"
"c3_7, 0","0,9661359","2nd_layer_n170, 0"
"c3_7, 0","-0,27962166","2nd_layer_n419, 0"
"c3_8, 0","0,6740269","2nd_layer_n446, 0"
"c3_8, 0","-0,28881356","2nd_layer_n229, 0"
"c3_9, 0","0,1698114","2nd_layer_n366, 0"
"c3_9, 0","-0,46019146","2nd_layer_n421, 0"
"c3_10, 0","0,49779546","2nd_layer_n9, 0"
"c3_10, 0","-0,72795165","2nd_layer_n124, 0"
"c3_11, 0","0,26649344","2nd_layer_n142, 0"
"c3_11, 0","-0,026664456","2nd_layer_n414, 0"
"c3_12, 0","0,27475977","2nd_layer_n135, 0"
"c3_12, 0","-0,2127933","2nd_layer_n448, 0"
"c4_1, 0","0,5540343","2nd_layer_n87, 0"
"c4_1, 0","-0,40522444","2nd_layer_n7, 0"
"c4_2, 0","0,7547731","2nd_layer_n107, 0"
"c4_2, 0","-0,09316551","2nd_layer_n165, 0"
"c4_3, 0","0,6103835","2nd_layer_n475, 0"
"c4_3, 0","-0,32967815","2nd_layer_n59, 0"
"c4_4, 0","0,28348833","2nd_layer_n201, 0"
"c4_4, 0","-0,49431676","2nd_layer_n367, 0"
"c4_5, 0","0,2544132","2nd_layer_n194, 0"
"c4_5, 0","-0,7532229","2nd_layer_n237, 0"
"c4_6, 0","0,45494893","2nd_layer_n373, 0"
"c4_6, 0","-0,26835868","2nd_layer_n86, 0"
"c4_7, 0","0,08855073","2nd_layer_n95, 0"
"c4_7, 0","-0,7220302","2nd_layer_n354, 0"
"c4_8, 0","0,5083228","2nd_layer_n482, 0"
"c4_8, 0","-0,3230924","2nd_layer_n163, 0"
"c4_9, 0","0,3701127","2nd_layer_n392, 0"
"c4_9, 0","-0,47501117","2nd_layer_n503, 0"
